"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01077",0,63.5,0.963905373115565,NA,NA,21.3370818880944,7.92640248505081,5.83813462962519,36.9201577286997,-4.65817579384976,0.0704731040441512,-4.79539831648793,-4.51898772503922
"fitted.Predictor.01078",0,64,1.00465509693791,NA,NA,19.7033251015489,8.24358832343765,3.58355405299518,35.9094479123777,-4.6616058332156,0.0726785927403379,-4.80312607245185,-4.51806599201544
"fitted.Predictor.01079",0,64.5,1.04540482076026,NA,NA,18.0552609037782,8.5879969336894,1.26131566986934,34.9378251578229,-4.66494011624052,0.0750453085459786,-4.81107558585028,-4.51673471915537
"fitted.Predictor.01080",0,65,1.0861545445826,NA,NA,16.3928893010203,8.9590700786989,-1.12749400060964,34.0041804312184,-4.66817852038037,0.0775718236985875,-4.81924401579333,-4.51499680766654
"fitted.Predictor.01081",0,65.5,1.12690426840495,NA,NA,14.7162102999013,9.35618343074268,-3.58165744084535,33.1072762757698,-4.67132096972021,0.0802563097224908,-4.82762770349249,-4.51285594425899
"fitted.Predictor.01082",0,66,1.16765399222729,NA,NA,13.0252239071476,9.77867591509417,-6.09988354768352,32.2458046967716,-4.67436742959611,0.083096633198257,-4.83622236682428,-4.51031641166612
"fitted.Predictor.01083",0,66.5,1.20840371604964,NA,NA,11.3199301293594,10.2258734539793,-8.68085423663956,31.4184338757355,-4.67731790029535,0.0860904421230058,-4.84502327753826,-4.50738291697239
"fitted.Predictor.01084",0,67,1.24915343987198,NA,NA,9.60032897284499,10.6971073106067,-11.3232605687522,30.6238441518239,-4.68017241047983,0.0892352414378409,-4.85402541725525,-4.50406044101149
"fitted.Predictor.01085",0,67.5,1.28990316369433,NA,NA,7.86642044350897,11.1917275858658,-14.0258294300885,29.8607543994967,-4.68293101082025,0.0925284572305003,-4.86322361051901,-4.50035282055454
"fitted.Predictor.01086",0,68,1.33065288751667,NA,NA,6.1182045467867,11.7091125936314,-16.7873421462946,29.1279402660878,-4.68559376817126,0.0959674898382467,-4.87261263487224,-4.49624957943995
